HwTrapBody(id=null, newOrClear=2, trapId=406068264, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:30:08, alarmClearedTime=2025-02-23 12:31:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406069631, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:44:50, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406069631, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:44:50, alarmClearedTime=2025-02-23 12:44:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406076377, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:47:02, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406076377, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:47:02, alarmClearedTime=2025-02-23 13:47:11, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406077143, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:55:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406077143, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:55:14, alarmClearedTime=2025-02-23 13:55:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406077870, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 14:04:41, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406077870, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 14:04:41, alarmClearedTime=2025-02-23 14:04:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406080203, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 14:32:50, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
