HwTrapBody(id=null, newOrClear=1, trapId=407195527, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=TKR003, siteName=TKRH01-TKR003_BAGHAK_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=TKRU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:05:21, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407183892, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL222, siteName=KBLH11-KBL222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:34:47, alarmClearedTime=2025-03-03 06:05:14, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407192010, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=GZN035, siteName=GZNH01-GZN035_JADA-E-FARUKHI_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:24:50, alarmClearedTime=2025-03-03 06:13:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407183206, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL305, siteName=KBL039_MBSC-KBL305_Tapa_rastokhil_Etisalat(KBL003)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU305, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:28:20, alarmClearedTime=2025-03-03 06:16:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407195527, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=TKR003, siteName=TKRH01-TKR003_BAGHAK_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=TKRU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:05:21, alarmClearedTime=2025-03-03 06:18:07, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407197289, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL316, siteName=KBLH08-KBL316_SARE_KOTAL_KHAIR_KAHANA_ETISALAT(KBL257)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU316, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:22:28, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407197397, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL200, siteName=KBLH11-KBL200_SHARAK_E_GLOBAL_Etisalat(KBL268)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU200, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:23:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407197563, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL305, siteName=KBL039_MBSC-KBL305_Tapa_rastokhil_Etisalat(KBL003)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU305, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:25:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407197607, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL222, siteName=KBLH11-KBL222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:25:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407197684, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=GZN035, siteName=GZNH01-GZN035_JADA-E-FARUKHI_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:26:50, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407197397, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL200, siteName=KBLH11-KBL200_SHARAK_E_GLOBAL_Etisalat(KBL268)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU200, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:23:45, alarmClearedTime=2025-03-03 06:25:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407198017, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL174, siteName=KBL174_UL_QZ, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU174, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:29:23, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407198227, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=BGL003, siteName=BGLH01-BGL003_QUMANDANI_Etisalat(BGL052)_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=BGLU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:31:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407198017, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL174, siteName=KBL174_UL_QZ, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU174, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:29:23, alarmClearedTime=2025-03-03 06:30:28, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407189422, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=JLD027, siteName=JLDH02-JLD027_25_WIYALA_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=JLDU027, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:57:47, alarmClearedTime=2025-03-03 06:30:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407197607, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL222, siteName=KBLH11-KBL222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:25:26, alarmClearedTime=2025-03-03 06:33:12, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407198814, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL307, siteName=KBL307_UL, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU307, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:37:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407198821, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL220, siteName=KBLH08-KBL220_HUB_KOTEL_KHAIR_KHANA_PT_P2, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU220, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:37:50, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407197684, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=GZN035, siteName=GZNH01-GZN035_JADA-E-FARUKHI_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:26:50, alarmClearedTime=2025-03-03 06:35:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407198878, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=BDK007, siteName=TKRH01-BDK007_KESHEEM_MTN(BKN001)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=BDKU007, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:38:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407198821, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL220, siteName=KBLH08-KBL220_HUB_KOTEL_KHAIR_KHANA_PT_P2, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU220, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:37:50, alarmClearedTime=2025-03-03 06:38:40, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407198814, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL307, siteName=KBL307_UL, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU307, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:37:45, alarmClearedTime=2025-03-03 06:38:41, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407199386, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL276, siteName=KBL276_UL_PRESIDENT_OFFICE_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU276, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:41:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407199612, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL295, siteName=KBL295_UL_JTTS, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU295, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:42:19, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
