HwTrapBody(id=null, newOrClear=2, trapId=401767796, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 01:27:07, alarmClearedTime=2007-07-07 02:32:09, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401770279, alarmCode=65069, alarmName=NodeB Battery Low Voltage, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 01:48:23, alarmClearedTime=2007-07-07 02:32:09, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401767800, alarmCode=65033, alarmName=Mains Failure, siteId=GZN012, siteName=GZNH01-GZN012_ARAIANA_HOTEL_MOQUR_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=GZN012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-01-20 13:42:36, alarmClearedTime=2025-01-20 14:47:40, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401799629, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 06:32:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401799628, alarmCode=65033, alarmName=Mains Failure, siteId=GZN012, siteName=GZNH01-GZN012_ARAIANA_HOTEL_MOQUR_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=GZN012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-01-20 18:47:37, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401800443, alarmCode=65069, alarmName=NodeB Battery Low Voltage, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=1, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 06:42:04, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401799629, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 06:32:08, alarmClearedTime=2007-07-07 07:06:02, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401800443, alarmCode=65069, alarmName=NodeB Battery Low Voltage, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 06:42:04, alarmClearedTime=2007-07-07 07:06:02, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401799628, alarmCode=65033, alarmName=Mains Failure, siteId=GZN012, siteName=GZNH01-GZN012_ARAIANA_HOTEL_MOQUR_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=GZN012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-01-20 18:47:37, alarmClearedTime=2025-01-20 19:21:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401820008, alarmCode=65033, alarmName=Mains Failure, siteId=GZN012, siteName=GZNH01-GZN012_ARAIANA_HOTEL_MOQUR_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=GZN012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-01-20 23:21:37, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
