HwTrapBody(id=null, newOrClear=2, trapId=406061555, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:25:11, alarmClearedTime=2025-02-23 11:32:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062282, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:32:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062745, alarmCode=65033, alarmName=Mains Failure, siteId=KBL017, siteName=KBLH11-KBL017_HUP_DORAHEE_PAGHMAN_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406024803, alarmCode=65033, alarmName=Mains Failure, siteId=JLD105, siteName=JLDH01-JLD105_TANGI_Etisalat_NGR111_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=JLD105, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 04:34:47, alarmClearedTime=2025-02-23 11:36:35, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062282, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:32:48, alarmClearedTime=2025-02-23 11:37:54, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062943, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:38:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062943, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:38:15, alarmClearedTime=2025-02-23 11:38:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062996, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:38:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062996, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:38:59, alarmClearedTime=2025-02-23 11:39:09, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063028, alarmCode=65033, alarmName=Mains Failure, siteId=JLD105, siteName=JLDH01-JLD105_TANGI_Etisalat_NGR111_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=JLD105, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:39:17, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063028, alarmCode=65033, alarmName=Mains Failure, siteId=JLD105, siteName=JLDH01-JLD105_TANGI_Etisalat_NGR111_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=JLD105, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:39:17, alarmClearedTime=2025-02-23 11:40:17, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406018595, alarmCode=65033, alarmName=Mains Failure, siteId=KBL492, siteName=KBL039_MBSC-KBL492_QALA Kajal Bini Hesar_Etisalat(KAB111)_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 03:28:02, alarmClearedTime=2025-02-23 11:40:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063208, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:41:19, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063208, alarmCode=65033, alarmName=Mains Failure, siteId=KBL103, siteName=KBL039_MBSC-KBL103_HUB_DEH_KHODAIDAD_CPX_P2, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:41:19, alarmClearedTime=2025-02-23 11:41:37, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062745, alarmCode=65033, alarmName=Mains Failure, siteId=KBL017, siteName=KBLH11-KBL017_HUP_DORAHEE_PAGHMAN_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:44, alarmClearedTime=2025-02-23 11:42:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063306, alarmCode=65033, alarmName=Mains Failure, siteId=KBL017, siteName=KBLH11-KBL017_HUP_DORAHEE_PAGHMAN_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:27, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063306, alarmCode=65033, alarmName=Mains Failure, siteId=KBL017, siteName=KBLH11-KBL017_HUP_DORAHEE_PAGHMAN_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:27, alarmClearedTime=2025-02-23 11:43:35, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063502, alarmCode=65033, alarmName=Mains Failure, siteId=KBL017, siteName=KBLH11-KBL017_HUP_DORAHEE_PAGHMAN_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:44:19, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063502, alarmCode=65033, alarmName=Mains Failure, siteId=KBL017, siteName=KBLH11-KBL017_HUP_DORAHEE_PAGHMAN_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:44:19, alarmClearedTime=2025-02-23 11:45:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063739, alarmCode=65033, alarmName=Mains Failure, siteId=KBL492, siteName=KBL039_MBSC-KBL492_QALA Kajal Bini Hesar_Etisalat(KAB111)_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:46:32, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406034503, alarmCode=65033, alarmName=Mains Failure, siteId=KBL345, siteName=KBLH11-KBL345_ARIA_TOWN_PHASE1_QZ_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL345, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 06:30:57, alarmClearedTime=2025-02-23 11:48:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063952, alarmCode=65033, alarmName=Mains Failure, siteId=KBL204, siteName=KBLH11-KBL204_CHARQALA_E_WAZIRABAD_QZ_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL204, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:54, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064085, alarmCode=65033, alarmName=Mains Failure, siteId=KBL498, siteName=KBLH11-KBL498_CORNER_OF_ARIA_TWON_PH_1_OPEX-NAYAB_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL498, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064099, alarmCode=65033, alarmName=Mains Failure, siteId=KPS002, siteName=KBLH08-KPS002_TXN_BTS_DABALEE_CPX_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS002, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:36, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064085, alarmCode=65033, alarmName=Mains Failure, siteId=KBL498, siteName=KBLH11-KBL498_CORNER_OF_ARIA_TWON_PH_1_OPEX-NAYAB_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL498, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:29, alarmClearedTime=2025-02-23 11:50:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063739, alarmCode=65033, alarmName=Mains Failure, siteId=KBL492, siteName=KBL039_MBSC-KBL492_QALA Kajal Bini Hesar_Etisalat(KAB111)_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:46:32, alarmClearedTime=2025-02-23 11:51:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064676, alarmCode=65033, alarmName=Mains Failure, siteId=KBL508, siteName=KBLH12-KBL508_SHAHRAK_E_OMID_SABZ_PHASE#4_ AWCC KBL437, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL508, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:54:53, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
