HwTrapBody(id=null, newOrClear=2, trapId=407197611, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL376, siteName=KBLU376_DOAGA_ABAD_DASHAT_BARCHI_MTN(KBL105)_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:24:40, alarmClearedTime=2025-03-03 08:07:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407205119, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL136, siteName=KBLU136_SARAK_E_GULDARA_Etisalat(KBL159)_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU136, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 07:27:16, alarmClearedTime=2025-03-03 08:10:22, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407209872, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL156, siteName=KBLU156_Shahrak_e_Sulh Kotal_e_Khairkhana_MTN(KBS075)_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU156, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:16:37, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407209872, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL156, siteName=KBLU156_Shahrak_e_Sulh Kotal_e_Khairkhana_MTN(KBS075)_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU156, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:16:37, alarmClearedTime=2025-03-03 08:18:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407210240, alarmCode=22214, alarmName=NodeB Unavailable, siteId=MZR040, siteName=MZRU040_BABA_YADGAR_KHAIRAN_PETROLEUM_OPEX_NAYAB, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=MZRU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:20:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407210723, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL070, siteName=KBLU070_UN_CPX_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU070, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:26:23, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407211662, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL147, siteName=KBLU147_Goldan_Path_Office_WAK_JTTS_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU147, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:34:51, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407202703, alarmCode=22214, alarmName=NodeB Unavailable, siteId=GZN040, siteName=GZNU040_QALA_E_AMIR_MOHD_KHAN_JTTS_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 07:07:14, alarmClearedTime=2025-03-03 08:38:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407212733, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL324, siteName=KBLU324_KOTELY_KHAIR KHANA_AWCC(KAB050)_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU324, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:46:58, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407211662, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL147, siteName=KBLU147_Goldan_Path_Office_WAK_JTTS_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU147, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:34:51, alarmClearedTime=2025-03-03 08:49:14, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
