HwTrapBody(id=null, newOrClear=2, trapId=406067418, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL280, siteName=KBL280_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL280_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:21:00, alarmClearedTime=2025-02-23 12:20:58, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406070772, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL410, siteName=KBL410_UL_QZ, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL410_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:46:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406070772, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL410, siteName=KBL410_UL_QZ, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL410_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:46:49, alarmClearedTime=2025-02-23 12:52:37, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406071676, alarmCode=29201, alarmName=S1 Interface Fault, siteId=MZR111, siteName=MZR111_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=MZR111_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:51:28, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406071676, alarmCode=29201, alarmName=S1 Interface Fault, siteId=MZR111, siteName=MZR111_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=MZR111_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:51:28, alarmClearedTime=2025-02-23 12:58:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406071725, alarmCode=29201, alarmName=S1 Interface Fault, siteId=MZR093, siteName=MZR093_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=MZR093_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:54:06, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406071725, alarmCode=29201, alarmName=S1 Interface Fault, siteId=MZR093, siteName=MZR093_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=MZR093_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:54:06, alarmClearedTime=2025-02-23 12:58:34, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406071796, alarmCode=29201, alarmName=S1 Interface Fault, siteId=MZR148, siteName=MZR148_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=MZR148_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:51:27, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406071796, alarmCode=29201, alarmName=S1 Interface Fault, siteId=MZR148, siteName=MZR148_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=MZR148_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:51:27, alarmClearedTime=2025-02-23 12:58:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406074703, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:54:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
