HwTrapBody(id=null, newOrClear=1, trapId=408001484, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 09:39:31, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408001484, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 09:39:31, alarmClearedTime=2025-03-09 09:39:38, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408042920, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 16:20:55, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408042920, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 16:20:55, alarmClearedTime=2025-03-09 16:21:02, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408112475, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL067, siteName=KBLH11-KBL067_BB_QARGHA_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL067, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 06:42:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408112475, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL067, siteName=KBLH11-KBL067_BB_QARGHA_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL067, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 06:42:09, alarmClearedTime=2025-03-10 06:42:15, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408118542, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL067, siteName=KBLH11-KBL067_BB_QARGHA_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL067, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 07:36:51, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408118542, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL067, siteName=KBLH11-KBL067_BB_QARGHA_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL067, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 07:36:51, alarmClearedTime=2025-03-10 07:37:00, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408172660, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 15:56:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408172660, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 15:56:11, alarmClearedTime=2025-03-10 15:56:18, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
