HwTrapBody(id=null, newOrClear=2, trapId=406064087, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL498, siteName=KBL498_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU498, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:31, alarmClearedTime=2025-02-23 11:50:29, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063738, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL492, siteName=KBL492_UL_Etisalat, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:46:34, alarmClearedTime=2025-02-23 11:51:46, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064541, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:53:01, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064541, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:53:01, alarmClearedTime=2025-02-23 11:53:28, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064894, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL492, siteName=KBL492_UL_Etisalat, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064898, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:51, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064898, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:51, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065123, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL513, siteName=KBL513_UL_Etisalat, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU513, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065227, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL522, siteName=KBL522_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU522, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065227, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL522, siteName=KBL522_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU522, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:26, alarmClearedTime=2025-02-23 12:00:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065123, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL513, siteName=KBL513_UL_Etisalat, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU513, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:15, alarmClearedTime=2025-02-23 12:01:28, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406055271, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:23:45, alarmClearedTime=2025-02-23 12:01:15, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064894, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL492, siteName=KBL492_UL_Etisalat, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406055948, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:31:05, alarmClearedTime=2025-02-23 12:08:34, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066177, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066177, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:00, alarmClearedTime=2025-02-23 12:10:52, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063309, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL017, siteName=KBL017_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:32, alarmClearedTime=2025-02-23 12:11:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067063, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL380, siteName=KBL380_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU380, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:19:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067336, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:21:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067336, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:21:39, alarmClearedTime=2025-02-23 12:21:54, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067599, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:23:24, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067063, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL380, siteName=KBL380_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU380, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:19:39, alarmClearedTime=2025-02-23 12:23:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067596, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL484, siteName=KBL484_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU484, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:23:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067596, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL484, siteName=KBL484_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU484, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:23:22, alarmClearedTime=2025-02-23 12:23:34, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067599, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:23:24, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067760, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL025, siteName=KBL025_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU025, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:24:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067760, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL025, siteName=KBL025_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU025, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:24:33, alarmClearedTime=2025-02-23 12:24:46, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064898, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:51, alarmClearedTime=2025-02-23 12:25:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067847, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:25:31, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067869, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL266, siteName=KBLU266_SHAHRAK_E_TELAHE_PT_P2, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU266, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:25:38, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067869, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL266, siteName=KBLU266_SHAHRAK_E_TELAHE_PT_P2, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU266, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:25:38, alarmClearedTime=2025-02-23 12:26:00, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406054243, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL095, siteName=KBL095_UL_AFSHAR_MARKET_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU095, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:14:45, alarmClearedTime=2025-02-23 12:30:38, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406068300, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL017, siteName=KBL017_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:30:41, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406068300, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL017, siteName=KBL017_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:30:41, alarmClearedTime=2025-02-23 12:31:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406068479, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL380, siteName=KBL380_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU380, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:32:55, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064894, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL492, siteName=KBL492_UL_Etisalat, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:48, alarmClearedTime=2025-02-23 12:33:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406069232, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KDZ004, siteName=KDZ004_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KDZU004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:40:02, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406069232, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KDZ004, siteName=KDZ004_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KDZU004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:40:02, alarmClearedTime=2025-02-23 12:40:18, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406069463, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL519, siteName=KBLU519_END_OF_MARSHAL_FAHIM_ROAD, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU519, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:42:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
