HwTrapBody(id=null, newOrClear=2, trapId=406073008, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:12:07, alarmClearedTime=2025-02-23 13:12:13, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406074221, alarmCode=65069, alarmName=NodeB Battery Low Voltage, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=1, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-08-10 01:10:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406070133, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:49:40, alarmClearedTime=2025-02-23 12:53:42, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406075404, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL447, siteName=KBL447_UL_QZ, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU447, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:38:54, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406075404, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL447, siteName=KBL447_UL_QZ, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU447, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:38:54, alarmClearedTime=2025-02-23 13:39:40, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406075551, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL447, siteName=KBL447_UL_QZ, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU447, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:40:04, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406075578, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:40:24, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406075551, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL447, siteName=KBL447_UL_QZ, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU447, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:40:04, alarmClearedTime=2025-02-23 13:40:32, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406075578, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:40:24, alarmClearedTime=2025-02-23 13:40:51, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406075681, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:41:07, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
