HwTrapBody(id=null, newOrClear=2, trapId=406071130, alarmCode=21825, alarmName=CSL Fault, siteId=KBL391, siteName=KBLH11-KBL391_Sarak_e_ Hotel_Parwan _Khairkhana, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:55:32, alarmClearedTime=2025-02-23 13:31:07, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406082463, alarmCode=21825, alarmName=CSL Fault, siteId=KDZ026, siteName=KDZH01-KDZ026_2G, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KDZ026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:03:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406082463, alarmCode=21825, alarmName=CSL Fault, siteId=KDZ026, siteName=KDZH01-KDZ026_2G, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KDZ026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:03:44, alarmClearedTime=2025-02-23 15:31:28, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406095839, alarmCode=21825, alarmName=CSL Fault, siteId=KBL156, siteName=KBLH08-KBL156_Shahrak_e_Sulh Kotal_e_Khairkhana, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL156_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:39:51, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406095949, alarmCode=21825, alarmName=CSL Fault, siteId=KBL510, siteName=KBLH12-KBL510_2G, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL510_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:40:41, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406095839, alarmCode=21825, alarmName=CSL Fault, siteId=KBL156, siteName=KBLH08-KBL156_Shahrak_e_Sulh Kotal_e_Khairkhana, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL156_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:39:51, alarmClearedTime=2025-02-23 17:41:01, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406095949, alarmCode=21825, alarmName=CSL Fault, siteId=KBL510, siteName=KBLH12-KBL510_2G, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL510_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:40:41, alarmClearedTime=2025-02-23 17:52:33, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406098418, alarmCode=21825, alarmName=CSL Fault, siteId=KBL156, siteName=KBLH08-KBL156_Shahrak_e_Sulh Kotal_e_Khairkhana, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL156_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 18:11:41, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406098418, alarmCode=21825, alarmName=CSL Fault, siteId=KBL156, siteName=KBLH08-KBL156_Shahrak_e_Sulh Kotal_e_Khairkhana, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL156_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 18:11:41, alarmClearedTime=2025-02-23 18:12:40, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406155555, alarmCode=21825, alarmName=CSL Fault, siteId=KBL410, siteName=KBLH11-KBL410_KHOWJABOGHRA_E_JADID_QZ_P2, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL410_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 04:59:32, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
