HwTrapBody(id=null, newOrClear=1, trapId=406062308, alarmCode=65090, alarmName=Mains Failure, siteId=KBL534, siteName=KBL534_GL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL534_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:33:07, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062318, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:33:12, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062308, alarmCode=65090, alarmName=Mains Failure, siteId=KBL534, siteName=KBL534_GL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL534_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:33:07, alarmClearedTime=2025-02-23 11:33:19, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062318, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:33:12, alarmClearedTime=2025-02-23 11:33:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406060366, alarmCode=65090, alarmName=Mains Failure, siteId=KBL395, siteName=KBL395_UL_TXN_OPEX_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL395_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:09:25, alarmClearedTime=2025-02-23 11:33:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062673, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062673, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:11, alarmClearedTime=2025-02-23 11:35:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062936, alarmCode=65090, alarmName=Mains Failure, siteId=KBL375, siteName=KBL375_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL375_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:38:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062936, alarmCode=65090, alarmName=Mains Failure, siteId=KBL375, siteName=KBL375_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL375_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:38:14, alarmClearedTime=2025-02-23 11:38:36, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063109, alarmCode=65090, alarmName=Mains Failure, siteId=KBL240, siteName=KBL240_UL_TXN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL240_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:40:10, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
