HwTrapBody(id=null, newOrClear=1, trapId=406061739, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=BMN002, siteName=KBLH08-BMN002_TAPA_E_DOAAB_Solar, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=BMNU002, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:27:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061739, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=BMN002, siteName=KBLH08-BMN002_TAPA_E_DOAAB_Solar, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=BMNU002, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:27:11, alarmClearedTime=2025-02-23 11:27:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061282, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL177, siteName=KBLH12-KBL177_TXN_DOGH_ABAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:22:04, alarmClearedTime=2025-02-23 11:30:52, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061544, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:25:05, alarmClearedTime=2025-02-23 11:33:37, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061188, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL177, siteName=KBL177_UL_TXN_JTTS, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:21:23, alarmClearedTime=2025-02-23 11:33:46, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062572, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:34:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062572, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:34:22, alarmClearedTime=2025-02-23 11:34:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062691, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:19, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062691, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:19, alarmClearedTime=2025-02-23 11:40:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063192, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:41:07, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
