ZteTrapBody(id=8431667832836915689, newOrClear=1, trapId=1718086494711, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=KBL390, siteName=KBLL390_Bagh_Ariq_MTN_(KBS085)_P3(2990), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=KBL390_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,11:33:23.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086494711, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,11:34:26.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=387558482755946290, newOrClear=1, trapId=1732079030921, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=BGL022, siteName=BGLL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_P2(6222), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL022_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,11:29:12.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030921, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,11:46:45.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6253142004339714544, newOrClear=1, trapId=1732079030928, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=BGL022, siteName=BGLL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_P2(6222), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL022_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,11:56:8.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2105091467475379391, newOrClear=1, trapId=1718086651886, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PRN001, siteName=PRNL001_TXN_CHARIKAR_CPX_P3(1501), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PRN001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,10:38:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086651886, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,10:39:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5516519853562016182, newOrClear=1, trapId=1718086652321, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=MZR152, siteName=MZRP152_ACG Shortepa MZR(4152), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=MZR152_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,12:23:6.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086652321, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,12:26:19.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5573418794541045917, newOrClear=1, trapId=1718086654631, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PRN001, siteName=PRNL001_TXN_CHARIKAR_CPX_P3(1501), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PRN001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,20:32:24.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086654631, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,20:33:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3999952668252466031, newOrClear=1, trapId=1718086655020, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PRN001, siteName=PRNL001_TXN_CHARIKAR_CPX_P3(1501), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PRN001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,22:40:12.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086655020, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,22:41:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1445705602370755500, newOrClear=1, trapId=1718086655246, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PRN001, siteName=PRNL001_TXN_CHARIKAR_CPX_P3(1501), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PRN001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,2:46:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086655246, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-18,2:47:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6095698705585012444, newOrClear=1, trapId=1718086655347, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PRN001, siteName=PRNL001_TXN_CHARIKAR_CPX_P3(1501), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PRN001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,3:40:13.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086655347, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-18,3:41:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2205187452346726339, newOrClear=1, trapId=1718086655530, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=HRT026, siteName=HRTC026_Karte_Safla_P2(2026), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,4:49:14.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086655530, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-18,4:51:22.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5565275556699860309, newOrClear=1, trapId=1718086655958, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PRN001, siteName=PRNL001_TXN_CHARIKAR_CPX_P3(1501), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PRN001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,7:32:31.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086655958, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-18,7:33:26.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
